Автор;Страница в Википедии;страница в lib.ru;произведение ;год написания;страница в Википедии
Андреев, Даниил Леонидович;https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2,_%D0%94%D0%B0%D0%BD%D0%B8%D0%B8%D0%BB_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/DANDREEW/;Русские боги;1955;
;;;Железная мистерия;1956;
;;;Роза Мира;1958;https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B7%D0%B0_%D0%9C%D0%B8%D1%80%D0%B0
Битов, Андрей Георгиевич;https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D1%82%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/BITOW/;Пушкинский дом;1964-1971;https://ru.wikipedia.org/wiki/%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%B4%D0%BE%D0%BC_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Преподаватель симметрии;1987;
;;;Птицы, или Новые сведения о человеке (Птицы, или Оглашение человека);1971;
Ерофеев, Венедикт Васильевич;https://ru.wikipedia.org/wiki/%D0%95%D1%80%D0%BE%D1%84%D0%B5%D0%B5%D0%B2,_%D0%92%D0%B5%D0%BD%D0%B5%D0%B4%D0%B8%D0%BA%D1%82_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87;;Москва-Петушки;1969-1970;https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0_%E2%80%94_%D0%9F%D0%B5%D1%82%D1%83%D1%88%D0%BA%D0%B8
;;;Записки психопата;1956-1958;
;;;Благая весть;1962;
Довлатов, Сергей Донатович;https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%B2%D0%BB%D0%B0%D1%82%D0%BE%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%94%D0%BE%D0%BD%D0%B0%D1%82%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/DOWLATOW/;Иностранка;1986;https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D0%BE%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%BA%D0%B0_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Филиал;1987;https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Заповедник;1877-1983;https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%BF%D0%BE%D0%B2%D0%B5%D0%B4%D0%BD%D0%B8%D0%BA_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Зона (Записки надзирателя);1962-1982;https://ru.wikipedia.org/wiki/%D0%97%D0%BE%D0%BD%D0%B0:_%D0%97%D0%B0%D0%BF%D0%B8%D1%81%D0%BA%D0%B8_%D0%BD%D0%B0%D0%B4%D0%B7%D0%B8%D1%80%D0%B0%D1%82%D0%B5%D0%BB%D1%8F
Аксенов, Василий Павлович;https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D1%81%D1%91%D0%BD%D0%BE%D0%B2,_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B9_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87;;Коллеги;1959;https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%B3%D0%B8_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Звездный билет;1961;https://ru.wikipedia.org/wiki/%D0%97%D0%B2%D1%91%D0%B7%D0%B4%D0%BD%D1%8B%D0%B9_%D0%B1%D0%B8%D0%BB%D0%B5%D1%82
;;;Мой дедушка - памятник;1969;https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D0%B9_%D0%B4%D0%B5%D0%B4%D1%83%D1%88%D0%BA%D0%B0_%E2%80%94_%D0%BF%D0%B0%D0%BC%D1%8F%D1%82%D0%BD%D0%B8%D0%BA
;;;Остров Крым;1979;https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2_%D0%9A%D1%80%D1%8B%D0%BC
;;;Московская сага;1991-1992;https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D1%81%D0%B0%D0%B3%D0%B0
Войнович, Владимир Николаевич;https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/WOJNOWICH/;Два товарища;1967;
;;;Степень доверия;ок.1972;
;;;Жизнь и необычайные приключения солдата Ивана Чонкина;1969, 1975;https://ru.wikipedia.org/wiki/%D0%96%D0%B8%D0%B7%D0%BD%D1%8C_%D0%B8_%D0%BD%D0%B5%D0%BE%D0%B1%D1%8B%D1%87%D0%B0%D0%B9%D0%BD%D1%8B%D0%B5_%D0%BF%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F_%D1%81%D0%BE%D0%BB%D0%B4%D0%B0%D1%82%D0%B0_%D0%98%D0%B2%D0%B0%D0%BD%D0%B0_%D0%A7%D0%BE%D0%BD%D0%BA%D0%B8%D0%BD%D0%B0
;;;Москва 2042;1987;https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0_2042
Алешковский, Юз;https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D1%88%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%AE%D0%B7;http://lib.ru/PROZA/ALESHKOWSKIJ/;Кыш, Двапортфеля и целая неделя;1970;
;;;Кенгуру;1975;https://ru.wikipedia.org/wiki/%D0%9A%D0%B5%D0%BD%D0%B3%D1%83%D1%80%D1%83_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Маскировка;1977;
;;;Синенький скромный платочек;1980;
Соколов, Саша;https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%BA%D0%BE%D0%BB%D0%BE%D0%B2,_%D0%A1%D0%B0%D1%88%D0%B0;;Школа для дураков;1973;https://ru.wikipedia.org/wiki/%D0%A8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%B4%D0%BB%D1%8F_%D0%B4%D1%83%D1%80%D0%B0%D0%BA%D0%BE%D0%B2
;;;Между собакой и волком;1980;https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%B6%D0%B4%D1%83_%D1%81%D0%BE%D0%B1%D0%B0%D0%BA%D0%BE%D0%B9_%D0%B8_%D0%B2%D0%BE%D0%BB%D0%BA%D0%BE%D0%BC
;;;Газибо;2009;
Лимонов, Эдуард Вениаминович;https://ru.wikipedia.org/wiki/%D0%9B%D0%B8%D0%BC%D0%BE%D0%BD%D0%BE%D0%B2,_%D0%AD%D0%B4%D1%83%D0%B0%D1%80%D0%B4_%D0%92%D0%B5%D0%BD%D0%B8%D0%B0%D0%BC%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/LIMONOV/;Это я - Эдичка;1976;https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE_%D1%8F_%E2%80%94_%D0%AD%D0%B4%D0%B8%D1%87%D0%BA%D0%B0
;;;Дневник неудачника;1982;
;;;Палач;1986;
;;;У нас была великая эпоха;1987;
Можаев, Борис Андреевич;https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D0%B6%D0%B0%D0%B5%D0%B2,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/MOZHAEW/;Мужики и бабы;1976, 1987;https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D0%B6%D0%B8%D0%BA%D0%B8_%D0%B8_%D0%B1%D0%B0%D0%B1%D1%8B
;;;Живой;1965;https://ru.wikipedia.org/wiki/%D0%96%D0%B8%D0%B2%D0%BE%D0%B9_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;История села Брёхова, писанная Петром Афанасиевичем Булкиным;1968;https://ru.wikipedia.org/wiki/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F_%D1%81%D0%B5%D0%BB%D0%B0_%D0%91%D1%80%D1%91%D1%85%D0%BE%D0%B2%D0%B0,_%D0%BF%D0%B8%D1%81%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%BC_%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D0%B8%D0%B5%D0%B2%D0%B8%D1%87%D0%B5%D0%BC_%D0%91%D1%83%D0%BB%D0%BA%D0%B8%D0%BD%D1%8B%D0%BC
;;;Полтора квадратных метра;1970;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D1%82%D0%BE%D1%80%D0%B0_%D0%BA%D0%B2%D0%B0%D0%B4%D1%80%D0%B0%D1%82%D0%BD%D1%8B%D1%85_%D0%BC%D0%B5%D1%82%D1%80%D0%B0
Попов, Валерий Георгиевич;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BF%D0%BE%D0%B2,_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D0%B8%D0%B9_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%B8%D1%87;;Жизнь удалась;1981;
;;;Иногда промелькнет;1991;
;;;Остров Рай;1993;
Петрушевская, Людмила Стефановна;https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%82%D1%80%D1%83%D1%88%D0%B5%D0%B2%D1%81%D0%BA%D0%B0%D1%8F,_%D0%9B%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0_%D0%A1%D1%82%D0%B5%D1%84%D0%B0%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0;http://lib.ru/PROZA/PETRUSHEWSKAYA/;Свой круг;1988;
;;;Время ночь;1992;
;;;Номер один или в садах иных возможностей;2004;
Ерофеев Виктор Владимирович;https://ru.wikipedia.org/wiki/%D0%95%D1%80%D0%BE%D1%84%D0%B5%D0%B5%D0%B2,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/EROFEEW_WI/;Бог Х;ок.2001;
;;;Свет дьявола;ок.2008;
;;;Жизнь с идиотом;ок.1991;
;;;Акимунды;ок.2012;
Славникова, Ольга Александровна;https://ru.wikipedia.org/wiki/%D0%A1%D0%BB%D0%B0%D0%B2%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0,_%D0%9E%D0%BB%D1%8C%D0%B3%D0%B0_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%BD%D0%B0;;Стрекоза, увеличенная до размеров собаки;1997;
;;;Один в зеркале;1999;
;;;Бессмертный;2001;
;;;2017;2003-2005;
Пелевин, Виктор Олегович;https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BB%D0%B5%D0%B2%D0%B8%D0%BD,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%9E%D0%BB%D0%B5%D0%B3%D0%BE%D0%B2%D0%B8%D1%87;http://www.2lib.ru/authors/1975.html;Омон Ра;1991;https://ru.wikipedia.org/wiki/%D0%9E%D0%BC%D0%BE%D0%BD_%D0%A0%D0%B0
;;;Generation „П“» («Поколение „П“);ок.1999;https://ru.wikipedia.org/wiki/Generation_%C2%AB%D0%9F%C2%BB
;;;Чапаев и пустота;1996;https://ru.wikipedia.org/wiki/%D0%A7%D0%B0%D0%BF%D0%B0%D0%B5%D0%B2_%D0%B8_%D0%9F%D1%83%D1%81%D1%82%D0%BE%D1%82%D0%B0
;;;Лампа Мафусаила, или Крайняя битва чекистов с масонами;2016;https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%BC%D0%BF%D0%B0_%D0%9C%D0%B0%D1%84%D1%83%D1%81%D0%B0%D0%B8%D0%BB%D0%B0,_%D0%B8%D0%BB%D0%B8_%D0%9A%D1%80%D0%B0%D0%B9%D0%BD%D1%8F%D1%8F_%D0%B1%D0%B8%D1%82%D0%B2%D0%B0_%D1%87%D0%B5%D0%BA%D0%B8%D1%81%D1%82%D0%BE%D0%B2_%D1%81_%D0%BC%D0%B0%D1%81%D0%BE%D0%BD%D0%B0%D0%BC%D0%B8
Сорокин, Владимир Георгиевич;https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%80%D0%BE%D0%BA%D0%B8%D0%BD,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/SOROKIN/;Норма;1983;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D1%80%D0%BC%D0%B0_(%D0%A1%D0%BE%D1%80%D0%BE%D0%BA%D0%B8%D0%BD)
;;;Тридцатая любовь марины;1984;https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%B8%D0%B4%D1%86%D0%B0%D1%82%D0%B0%D1%8F_%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C_%D0%9C%D0%B0%D1%80%D0%B8%D0%BD%D1%8B
;;;Голубое сало;ок.1999;https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D1%83%D0%B1%D0%BE%D0%B5_%D1%81%D0%B0%D0%BB%D0%BE
;;;Теллургия;ок.2013;https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D0%BB%D0%BB%D1%83%D1%80%D0%B8%D1%8F
Улицкая, Людмила Евгеньевна;https://ru.wikipedia.org/wiki/%D0%A3%D0%BB%D0%B8%D1%86%D0%BA%D0%B0%D1%8F,_%D0%9B%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0;;Казус Кукоцкого;2001;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B7%D1%83%D1%81_%D0%9A%D1%83%D0%BA%D0%BE%D1%86%D0%BA%D0%BE%D0%B3%D0%BE
;;;Даниэль Штайн, переводчик;2006;https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%BD%D0%B8%D1%8D%D0%BB%D1%8C_%D0%A8%D1%82%D0%B0%D0%B9%D0%BD,_%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA
;;;Зеленый шатер;2011;
;;;Искренне ваш Шурик;2003;
Пьецух, Вячеслав Алексеевич;https://ru.wikipedia.org/wiki/%D0%9F%D1%8C%D0%B5%D1%86%D1%83%D1%85,_%D0%92%D1%8F%D1%87%D0%B5%D1%81%D0%BB%D0%B0%D0%B2_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/PIECUH/;В предчувствии октября;ок.2004;
;;;Город Глупов в последние десять лет;2000-е;
;;;Исповедь дуралея;2011;
Рубина, Дина Ильинична;https://ru.wikipedia.org/wiki/%D0%A0%D1%83%D0%B1%D0%B8%D0%BD%D0%B0,_%D0%94%D0%B8%D0%BD%D0%B0_%D0%98%D0%BB%D1%8C%D0%B8%D0%BD%D0%B8%D1%87%D0%BD%D0%B0;http://lib.ru/NEWPROZA/RUBINA/;На солнечной стороне улицы;2006;
;;;Почерк Леонардо;ок.2008;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D1%87%D0%B5%D1%80%D0%BA_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B0%D1%80%D0%B4%D0%BE
;;;Белая голубка Кордовы;2009;https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%B0%D1%8F_%D0%B3%D0%BE%D0%BB%D1%83%D0%B1%D0%BA%D0%B0_%D0%9A%D0%BE%D1%80%D0%B4%D0%BE%D0%B2%D1%8B
;;;Синдром Петрушки;ок.2010;
Быков, Дмитрий Львович;https://ru.wikipedia.org/wiki/%D0%91%D1%8B%D0%BA%D0%BE%D0%B2,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%9B%D1%8C%D0%B2%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/POEZIQ/BYKOW_D/;Оправдание;2001;
;;;Орфография;2003;
;;;Остромов, или Ученик чародея;2010;
;;;Икс;2012;
Геласимов, Андрей Валерьевич;https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%BB%D0%B0%D1%81%D0%B8%D0%BC%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87;;Фокс Малдер похож на свинью;2001;
;;;Жажда;2002;
;;;Степные Боги;2008;
;;;Холод;2015;
Веллер, Михаил Иосифович;https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D0%BB%D0%B5%D1%80,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%98%D0%BE%D1%81%D0%B8%D1%84%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/WELLER/;Приключения майора Звягина;ок.1991;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F_%D0%BC%D0%B0%D0%B9%D0%BE%D1%80%D0%B0_%D0%97%D0%B2%D1%8F%D0%B3%D0%B8%D0%BD%D0%B0
;;;Ножик Сережи Довлатова;1994;
;;;Жестокий;2003;
;;;Перпендикуляр;2008;
Жванецкий, Михаил Михайлович;https://ru.wikipedia.org/wiki/%D0%96%D0%B2%D0%B0%D0%BD%D0%B5%D1%86%D0%BA%D0%B8%D0%B9,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87;;Собрание на ликеро-водочном заводе;1980-е;
;;;Софья Генриховна;1990-е;
;;;На даче;;
;;;Сосредоточенные размышления;;
Гришковец, Евгений Валерьевич ;https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B8%D1%88%D0%BA%D0%BE%D0%B2%D0%B5%D1%86,_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87;;Рубашка;2004;
;;;Асфальт;2008;
;;;Реки;2005;
;;;А…..а;2010;
Иванов, Алексей Викторович;https://ru.wikipedia.org/wiki/%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/RUFANT/IWANOW_A/;Общага-на-Крови;1992;https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D1%89%D0%B0%D0%B3%D0%B0-%D0%BD%D0%B0-%D0%9A%D1%80%D0%BE%D0%B2%D0%B8
;;;Географ глобус пропил;1995;https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%BE%D0%B3%D1%80%D0%B0%D1%84_%D0%B3%D0%BB%D0%BE%D0%B1%D1%83%D1%81_%D0%BF%D1%80%D0%BE%D0%BF%D0%B8%D0%BB_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Сердце Пармы;2003;https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B4%D1%86%D0%B5_%D0%9F%D0%B0%D1%80%D0%BC%D1%8B
Прилепин, Захар;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BB%D0%B5%D0%BF%D0%B8%D0%BD,_%D0%97%D0%B0%D1%85%D0%B0%D1%80;;Санькя;2006;https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D1%8C%D0%BA%D1%8F
;;;Патологии;2004;https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Обитель;ок.2014;https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D0%B8%D1%82%D0%B5%D0%BB%D1%8C_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
Шаргунов, Сергей Александрович;https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D1%80%D0%B3%D1%83%D0%BD%D0%BE%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/NEWPROZA/SHARGUNOW/;"1993. Семейный портрет на фоне горящего дома 
";ок.2013;
;;;Птичий грипп;ок.2008;
;;;Малыш наказан;ок.2003;
Акунин, Борис;https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%90%D0%BA%D1%83%D0%BD%D0%B8%D0%BD;http://lib.ru/RUSS_DETEKTIW/BAKUNIN/;Турецкий Гамбит;1998;https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D1%80%D0%B5%D1%86%D0%BA%D0%B8%D0%B9_%D0%B3%D0%B0%D0%BC%D0%B1%D0%B8%D1%82
;;;Статский Советник;1999;https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D0%BE%D0%B2%D0%B5%D1%82%D0%BD%D0%B8%D0%BA_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Алтын-Толобас;2001;https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D1%82%D1%8B%D0%BD-%D1%82%D0%BE%D0%BB%D0%BE%D0%B1%D0%B0%D1%81
;;;Ф.М.;2006;https://ru.wikipedia.org/wiki/%D0%A4._%D0%9C.
;;;Нефритовые четки;2006;https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D1%84%D1%80%D0%B8%D1%82%D0%BE%D0%B2%D1%8B%D0%B5_%D1%87%D1%91%D1%82%D0%BA%D0%B8
Устинова, Татьяна Витальевна;https://ru.wikipedia.org/wiki/%D0%A3%D1%81%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%B0,_%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0_%D0%92%D0%B8%D1%82%D0%B0%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0;;Богиня прайм-тайма;2003;
;;;Жизнь, по слухам, одна!;2008;
;;;Неразрезанные страницы;2011;
;;;Шекспир мне друг, но истина дороже;2015;
Донцова, Дарья;https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BD%D1%86%D0%BE%D0%B2%D0%B0,_%D0%94%D0%B0%D1%80%D1%8C%D1%8F;;Бермудский треугольник черной вдовы;2015;
;;;Всем сестрам по мозгам;2013;
;;;Рваные валенки мадам Помпадур;2011;
;;;Дед Снегур и Морозочка;2010;
Проханов, Александр Андреевич;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%85%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87;;Место действия;1979;
;;;И вот приходит ветер;1980-е;
;;;Шестьсот лет после битвы;1988;
;;;Господин Гексоген;2002;https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B8%D0%BD_%D0%93%D0%B5%D0%BA%D1%81%D0%BE%D0%B3%D0%B5%D0%BD
Кассиль, Лев Абрамович;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%81%D1%81%D0%B8%D0%BB%D1%8C,_%D0%9B%D0%B5%D0%B2_%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/KASSIL/;Кондуит и Швамбрания;1931, 1955;https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BD%D0%B4%D1%83%D0%B8%D1%82_%D0%B8_%D0%A8%D0%B2%D0%B0%D0%BC%D0%B1%D1%80%D0%B0%D0%BD%D0%B8%D1%8F
;;;Дорогие мои мальчишки;1944;
;;;Будьте готовы, Ваше высочество;1964;https://ru.wikipedia.org/wiki/%D0%91%D1%83%D0%B4%D1%8C%D1%82%D0%B5_%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D1%8B,_%D0%92%D0%B0%D1%88%D0%B5_%D0%B2%D1%8B%D1%81%D0%BE%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE!_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Ученик чародея;ок.1934;
Носов, Николай Николаевич;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D1%81%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/NOSOW/;Приключения Незнайки и его друзей;1954;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F_%D0%9D%D0%B5%D0%B7%D0%BD%D0%B0%D0%B9%D0%BA%D0%B8_%D0%B8_%D0%B5%D0%B3%D0%BE_%D0%B4%D1%80%D1%83%D0%B7%D0%B5%D0%B9
;;;Незнайка в Солнечном городе;1958;https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%B7%D0%BD%D0%B0%D0%B9%D0%BA%D0%B0_%D0%B2_%D0%A1%D0%BE%D0%BB%D0%BD%D0%B5%D1%87%D0%BD%D0%BE%D0%BC_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B5
;;;Незнайка на Луне;1965;https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%B7%D0%BD%D0%B0%D0%B9%D0%BA%D0%B0_%D0%BD%D0%B0_%D0%9B%D1%83%D0%BD%D0%B5
