Автор;Страница в Википедии;страница в lib.ru;произведение ;год написания;страница в Википедии
Куприн, Александр Иванович;https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%BF%D1%80%D0%B8%D0%BD,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/LITRA/KUPRIN/;Впотьмах;1892;https://ru.wikipedia.org/wiki/%D0%92%D0%BF%D0%BE%D1%82%D1%8C%D0%BC%D0%B0%D1%85
;;;Молох;1896;
;;;Олеся;1898;https://ru.wikipedia.org/wiki/%D0%9E%D0%BB%D0%B5%D1%81%D1%8F_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Поединок;1905;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B5%D0%B4%D0%B8%D0%BD%D0%BE%D0%BA_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Гранатовый браслет;1910;https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B0%D0%BD%D0%B0%D1%82%D0%BE%D0%B2%D1%8B%D0%B9_%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82
Бунин, Иван Алексеевич;https://ru.wikipedia.org/wiki/%D0%91%D1%83%D0%BD%D0%B8%D0%BD,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/BUNIN/;Жизнь Арсеньева;1929, 1933;https://ru.wikipedia.org/wiki/%D0%96%D0%B8%D0%B7%D0%BD%D1%8C_%D0%90%D1%80%D1%81%D0%B5%D0%BD%D1%8C%D0%B5%D0%B2%D0%B0
;;;Деревня;1908;
;;;Суходол;1912;https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D1%85%D0%BE%D0%B4%D0%BE%D0%BB_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Митина любовь;1925;
;;;Антоновские яблоки;1900;https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B5_%D1%8F%D0%B1%D0%BB%D0%BE%D0%BA%D0%B8
Андреев, Леонид Николаевич;https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2,_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87;http://az.lib.ru/a/andreew_l_n/;Жизнь Василия Фивейского;1903;https://ru.wikipedia.org/wiki/%D0%96%D0%B8%D0%B7%D0%BD%D1%8C_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D1%8F_%D0%A4%D0%B8%D0%B2%D0%B5%D0%B9%D1%81%D0%BA%D0%BE%D0%B3%D0%BE
;;;Красный смех;1904;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D1%8B%D0%B9_%D1%81%D0%BC%D0%B5%D1%85
;;;Иуда Искариот;1907;https://ru.wikipedia.org/wiki/%D0%98%D1%83%D0%B4%D0%B0_%D0%98%D1%81%D0%BA%D0%B0%D1%80%D0%B8%D0%BE%D1%82_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Рассказ о семи повешенных;1908;https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D1%81%D0%BA%D0%B0%D0%B7_%D0%BE_%D1%81%D0%B5%D0%BC%D0%B8_%D0%BF%D0%BE%D0%B2%D0%B5%D1%88%D0%B5%D0%BD%D0%BD%D1%8B%D1%85
;;;Ангелочек;1899;
Шмелев, Иван Сергеевич;https://ru.wikipedia.org/wiki/%D0%A8%D0%BC%D0%B5%D0%BB%D1%91%D0%B2,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/RUSSLIT/SMELEW/;Богомолье;1831;https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%B3%D0%BE%D0%BC%D0%BE%D0%BB%D1%8C%D0%B5
;;;Лето Господне;1927 - 1948;https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D1%82%D0%BE_%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%BD%D0%B5
;;;Неупиваемая чаша;1918;
Толстой, Алексей Николаевич;https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87;http://az.lib.ru/t/tolstoj_a_n/;Аэлита;1923;https://ru.wikipedia.org/wiki/%D0%90%D1%8D%D0%BB%D0%B8%D1%82%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Гиперболоид инженера Гарина;1927;https://ru.wikipedia.org/wiki/%D0%93%D0%B8%D0%BF%D0%B5%D1%80%D0%B1%D0%BE%D0%BB%D0%BE%D0%B8%D0%B4_%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80%D0%B0_%D0%93%D0%B0%D1%80%D0%B8%D0%BD%D0%B0
;;;Хождение по мукам;1921-1941;https://ru.wikipedia.org/wiki/%D0%A5%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BF%D0%BE_%D0%BC%D1%83%D0%BA%D0%B0%D0%BC
